no,n_estimators,max_depth,eta,subsample,colsample_bytree,MSE,R
415,100,1,0.4,0.1,0.4,144.5500335,0.01010423
416,100,1,0.4,0.1,0.5,144.5500335,0.01010423
417,100,1,0.4,0.1,0.6,172.507414,-0.285485887
418,100,1,0.4,0.1,0.7,172.507414,-0.285485887
419,100,1,0.4,0.1,0.8,94.30687782,0.23724626
420,100,1,0.4,0.1,0.9,94.30687782,0.23724626
421,100,1,0.4,0.2,0,106.920335,-0.296671378
422,100,1,0.4,0.2,0.1,106.920335,-0.296671378
423,100,1,0.4,0.2,0.2,106.920335,-0.296671378
424,100,1,0.4,0.2,0.3,106.920335,-0.296671378
425,100,1,0.4,0.2,0.4,157.5703563,-0.195838597
426,100,1,0.4,0.2,0.5,157.5703563,-0.195838597
427,100,1,0.4,0.2,0.6,152.392868,-0.394009328
428,100,1,0.4,0.2,0.7,152.392868,-0.394009328
429,100,1,0.4,0.2,0.8,131.7863738,-0.111985215
430,100,1,0.4,0.2,0.9,131.7863738,-0.111985215
431,100,1,0.4,0.3,0,71.17565575,0.275798561
432,100,1,0.4,0.3,0.1,71.17565575,0.275798561
433,100,1,0.4,0.3,0.2,71.17565575,0.275798561
434,100,1,0.4,0.3,0.3,71.17565575,0.275798561
435,100,1,0.4,0.3,0.4,107.2647484,-0.188843223
436,100,1,0.4,0.3,0.5,107.2647484,-0.188843223
437,100,1,0.4,0.3,0.6,121.438448,-0.131186806
438,100,1,0.4,0.3,0.7,121.438448,-0.131186806
439,100,1,0.4,0.3,0.8,134.4449881,-0.215764742
440,100,1,0.4,0.3,0.9,134.4449881,-0.215764742
441,100,1,0.4,0.4,0,56.51707842,0.384367334
442,100,1,0.4,0.4,0.1,56.51707842,0.384367334
443,100,1,0.4,0.4,0.2,56.51707842,0.384367334
444,100,1,0.4,0.4,0.3,56.51707842,0.384367334
445,100,1,0.4,0.4,0.4,61.48116161,0.396084978
446,100,1,0.4,0.4,0.5,61.48116161,0.396084978
447,100,1,0.4,0.4,0.6,109.2835973,-0.157444378
448,100,1,0.4,0.4,0.7,109.2835973,-0.157444378
449,100,1,0.4,0.4,0.8,96.39578365,0.051428655
450,100,1,0.4,0.4,0.9,96.39578365,0.051428655
451,100,1,0.4,0.5,0,45.63822599,0.587240061
452,100,1,0.4,0.5,0.1,45.63822599,0.587240061
453,100,1,0.4,0.5,0.2,45.63822599,0.587240061
454,100,1,0.4,0.5,0.3,45.63822599,0.587240061
455,100,1,0.4,0.5,0.4,64.03957283,0.358462396
456,100,1,0.4,0.5,0.5,64.03957283,0.358462396
457,100,1,0.4,0.5,0.6,81.65609167,0.166571125
458,100,1,0.4,0.5,0.7,81.65609167,0.166571125
459,100,1,0.4,0.5,0.8,90.27074757,0.110417434
460,100,1,0.4,0.5,0.9,90.27074757,0.110417434
461,100,1,0.4,0.6,0,58.65859799,0.405451363
462,100,1,0.4,0.6,0.1,58.65859799,0.405451363
463,100,1,0.4,0.6,0.2,58.65859799,0.405451363
464,100,1,0.4,0.6,0.3,58.65859799,0.405451363
465,100,1,0.4,0.6,0.4,71.69071858,0.290517715
466,100,1,0.4,0.6,0.5,71.69071858,0.290517715
467,100,1,0.4,0.6,0.6,64.88513277,0.332453454
468,100,1,0.4,0.6,0.7,64.88513277,0.332453454
469,100,1,0.4,0.6,0.8,59.40208909,0.377862811
470,100,1,0.4,0.6,0.9,59.40208909,0.377862811
471,100,1,0.4,0.7,0,68.52355154,0.289159561
472,100,1,0.4,0.7,0.1,68.52355154,0.289159561
473,100,1,0.4,0.7,0.2,68.52355154,0.289159561
474,100,1,0.4,0.7,0.3,68.52355154,0.289159561
475,100,1,0.4,0.7,0.4,61.67215802,0.354033446
476,100,1,0.4,0.7,0.5,61.67215802,0.354033446
477,100,1,0.4,0.7,0.6,71.01535188,0.228770879
478,100,1,0.4,0.7,0.7,71.01535188,0.228770879
479,100,1,0.4,0.7,0.8,63.60128128,0.351495066
480,100,1,0.4,0.7,0.9,63.60128128,0.351495066
481,100,1,0.4,0.8,0,69.55789342,0.307626741
482,100,1,0.4,0.8,0.1,69.55789342,0.307626741
483,100,1,0.4,0.8,0.2,69.55789342,0.307626741
484,100,1,0.4,0.8,0.3,69.55789342,0.307626741
485,100,1,0.4,0.8,0.4,62.46578665,0.364184329
486,100,1,0.4,0.8,0.5,62.46578665,0.364184329
