1,2,3,4,5,6,7,8,9,10,11,12,13,14
183,14,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,101.64,-0.0296
184,14,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,103.64,0.1109
185,14,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,782.72,-0.33192
186,14,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,50.741,0.56004
187,14,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,147.52,0.14248
188,14,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,76.942,-0.036697
189,14,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,37.913,0.64942
190,14,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,233.61,-0.49375
191,14,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,94.395,0.21012
192,14,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,124.32,0.017707
193,14,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,202.62,-0.34427
194,14,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,118.49,0.29961
195,14,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,76.463,0.20691
196,14,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,36.19,0.64676
197,15,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,120.33,0.018461
198,15,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,70.387,0.48086
199,15,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,92.749,0.20867
200,15,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,68.283,0.12022
201,15,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,840.85,-0.38206
